tid,loop_in_cs,lock_acquires,lock_hold(ms),total_duration(s),wait_acq(ms),wait_rel(ms),lwait_acq,lwait_rel,gwait_acq,gwait_rel,data_read,data_write,glock_tries,array_size(B),client_id,run,nlocks
011,1368653824,    5220, 1733.106812,   20.000000, 9565.589844, 8691.069336, 1258.906250,    3.640973, 8307.519531, 8689.012695, 7966.744629, 8335.833984,      5221,         1048576,000,002,000128
012,1369702400,    5224, 1737.347900,   20.000000, 9517.323242, 8733.573242, 1213.578003,    3.749892, 8305.576172, 8731.044922, 7964.387207, 8376.089844,      5225,         1048576,000,002,000128
013,1371013120,    5229, 1734.942871,   20.000000, 9540.818359, 8715.107422, 1235.677490,    3.658220, 8305.663086, 8713.112305, 7962.171875, 8362.166992,      5230,         1048576,000,002,000128
014,1371537408,    5231, 1743.113159,   20.000000, 9501.528320, 8743.847656, 1199.516846,    3.846914, 8303.359375, 8741.319336, 7959.544434, 8393.119141,      5232,         1048576,000,002,000128
015,1371799552,    5232, 1737.943237,   20.000000, 9515.268555, 8739.558594, 1206.840576,    3.754884, 8307.667969, 8736.812500, 7968.252441, 8378.992188,      5232,         1048576,000,002,000128
000,1385955328,    5286, 1540.797119,   20.000000, 9620.296875, 8830.957031, 1219.587036,    3.915161, 8400.026367, 8827.675781, 8073.949707, 8489.190430,      5286,         1048576,000,003,000128
001,1388576768,    5296, 1543.170044,   20.000000, 9593.835938, 8853.315430, 1196.936279,    3.685896, 8398.535156, 8849.859375, 8072.854004, 8508.205078,      5297,         1048576,000,003,000128
002,1391198208,    5306, 1547.053589,   20.000000, 9550.841797, 8894.048828, 1194.395996,    3.595891, 8355.673828, 8891.333984, 8032.588867, 8550.963867,      5306,         1048576,000,003,000128
003,1377828864,    5255, 1606.680298,   20.000000, 9578.943359, 8806.712891, 1248.360840,    4.215645, 8329.653320, 8802.648438, 8008.181641, 8461.528320,      5255,         1048576,000,003,000128
004,1385431040,    5284, 1542.148193,   20.000000, 9627.817383, 8822.907227, 1233.078125,    4.053498, 8394.012695, 8819.514648, 8066.125000, 8478.080078,      5284,         1048576,000,003,000128
005,1393033216,    5313, 1550.335449,   20.000000, 9539.847656, 8902.319336, 1140.917969,    3.626949, 8398.207031, 8899.422852, 8075.638672, 8558.935547,      5313,         1048576,000,003,000128
006,1382023168,    5271, 1538.086060,   20.000000, 9651.718750, 8803.875977, 1306.369629,    3.680989, 8344.607422, 8799.552734, 8012.872559, 8460.475586,      5271,         1048576,000,003,000128
007,1393295360,    5314, 1549.299927,   20.000000, 9554.897461, 8888.036133, 1156.882935,    3.645383, 8397.316406, 8885.169922, 8072.109375, 8539.391602,      5314,         1048576,000,003,000128
008,1370488832,    5227, 1737.050415,   20.000000, 9489.243164, 8762.573242, 1189.350830,    4.043360, 8301.041992, 8758.220703, 7953.897949, 8401.498047,      5228,         1048576,000,003,000128
009,1373372416,    5238, 1746.391357,   20.000000, 9456.363281, 8788.716797, 1157.285645,    3.884074, 8298.344727, 8785.604492, 7958.337891, 8436.465820,      5238,         1048576,000,003,000128
010,1368653824,    5220, 1745.166626,   20.000000, 9524.689453, 8721.098633, 1232.594360,    3.669284, 8291.272461, 8716.824219, 7944.721680, 8369.147461,      5220,         1048576,000,003,000128
011,1375469568,    5246, 1741.677246,   20.000000, 9462.946289, 8784.860352, 1131.291626,    3.657065, 8333.125977, 8781.529297, 7989.840332, 8432.017578,      5247,         1048576,000,003,000128
012,1371275264,    5230, 1746.696411,   20.000000, 9497.836914, 8746.645508, 1199.145874,    3.649792, 8297.974609, 8742.853516, 7961.145996, 8391.742188,      5230,         1048576,000,003,000128
013,1371537408,    5231, 1744.594604,   20.000000, 9485.110352, 8760.842773, 1191.943481,    3.796231, 8294.890625, 8756.462891, 7961.175781, 8408.721680,      5232,         1048576,000,003,000128
014,1375993856,    5248, 1750.708740,   20.000000, 9436.501953, 8804.143555, 1135.308716,    3.743455, 8300.317383, 8801.291992, 7965.360840, 8445.619141,      5248,         1048576,000,003,000128
015,1369702400,    5224, 1737.224121,   20.000000, 9498.356445, 8754.038086, 1193.310303,    3.630883, 8306.556641, 8750.630859, 7967.625488, 8399.791992,      5225,         1048576,000,003,000128
000,1394081792,    5317, 1548.517700,   20.000000, 9612.317383, 8831.305664, 1168.802002,    3.643291, 8444.063477, 8828.569336, 8116.439941, 8487.043945,      5318,         1048576,000,004,000128
001,1393033216,    5313, 1550.045898,   20.000000, 9656.830078, 8786.661133, 1187.717041,    3.683138, 8468.384766, 8783.633789, 8138.785156, 8439.986328,      5313,         1048576,000,004,000128
