tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la
013,00000000,00395536,020,00279279,00000000,00000000,001024,002,002,00016384,00200157
014,00000000,00398237,020,00282193,00000000,00000000,001024,002,002,00016384,00200396
015,00000000,00394987,020,00279309,00000000,00000000,001024,002,002,00016384,00199192
016,00000000,00393258,020,00279544,00000000,00000000,001024,002,002,00016384,00198164
017,00000000,00396105,020,00280154,00000000,00000000,001024,002,002,00016384,00199505
018,00000000,00396706,020,00279314,00000000,00000000,001024,002,002,00016384,00199169
019,00000000,00392050,020,00278775,00000000,00000000,001024,002,002,00016384,00197099
020,00000000,00393148,020,00278616,00000000,00000000,001024,002,002,00016384,00198106
021,00000000,00397818,020,00278128,00000000,00000000,001024,002,002,00016384,00200291
022,00000000,00393490,020,00278954,00000000,00000000,001024,002,002,00016384,00198403
023,00000000,00388792,020,00275760,00000000,00000000,001024,002,002,00016384,00195926
024,00000000,00389929,020,00276794,00000000,00000000,001024,002,002,00016384,00196417
025,00000000,00390089,020,00275782,00000000,00000000,001024,002,002,00016384,00196139
026,00000000,00392489,020,00277746,00000000,00000000,001024,002,002,00016384,00197401
027,00000000,00386375,020,00275821,00000000,00000000,001024,002,002,00016384,00194882
028,00000000,00396235,020,00279787,00000000,00000000,001024,002,002,00016384,00199260
029,00000000,00391659,020,00278178,00000000,00000000,001024,002,002,00016384,00197348
030,00000000,00394365,020,00278809,00000000,00000000,001024,002,002,00016384,00198862
031,00000000,00396776,020,00280872,00000000,00000000,001024,002,002,00016384,00199620
