tid,loop_in_cs,lock_acquires,duration,glock_tries,handovers,handovers_data,array_size(B),nodeID,run,lockNR,la,pinning,cache_misses,c_ho
024,00000000,00049614,010,00024799,00000000,00000000,001024,003,001,00016384,00024799,02,0000000004530119,00002376
025,00000000,00049660,010,00025096,00000000,00000000,001024,003,001,00016384,00025096,02,0000000004421525,00002345
026,00000000,00049186,010,00024654,00000000,00000000,001024,003,001,00016384,00024654,02,0000000005970230,00002319
027,00000000,00049240,010,00024802,00000000,00000000,001024,003,001,00016384,00024802,02,0000000005648444,00002344
028,00000000,00049584,010,00024996,00000000,00000000,001024,003,001,00016384,00024996,02,0000000004778358,00002350
029,00000000,00049210,010,00024566,00000000,00000000,001024,003,001,00016384,00024566,02,0000000005547625,00002348
030,00000000,00049675,010,00024822,00000000,00000000,001024,003,001,00016384,00024822,02,0000000004175644,00002303
031,00000000,00049061,010,00024764,00000000,00000000,001024,003,001,00016384,00024764,02,0000000005696025,00002366
000,00000000,00102540,010,00051733,00000000,00000000,001024,000,002,00016384,00051733,02,0000000009278928,00003135
001,00000000,00100917,010,00050970,00000000,00000000,001024,000,002,00016384,00050970,02,0000000008237752,00003145
002,00000000,00103257,010,00052049,00000000,00000000,001024,000,002,00016384,00052049,02,0000000010406754,00003135
